ready to get,0.042597,2.73E-027
with the family,0.042755,2.58E-027
strength,0.042766,2.37E-027
more days,0.042819,1.99E-027
a long,0.042881,1.28E-027
the semester,0.042897,9.37E-028
day to all,0.043279,8.21E-027
then off,0.043387,3.77E-028
time with my,0.043544,4.31E-028
off to work,0.043556,2.03E-028
classes,0.043709,1.72E-028
ready for a,0.043711,1.47E-028
is ready for,0.043755,5.72E-029
busy day,0.044001,5.49E-029
this semester,0.044043,2.18E-029
ready to go,0.044156,4.22E-029
had a blast,0.044168,2.88E-029
then off to,0.044311,1.55E-029
! thank you,0.044371,5.30E-029
forward to,0.044612,3.13E-029
studying for,0.044804,3.12E-030
dinner with,0.044926,3.39E-030
successful,0.044956,9.16E-031
congrats,0.045011,8.89E-031
done with,0.045297,6.37E-031
for the weekend,0.045339,4.33E-031
beautiful day,0.045403,6.53E-030
thank you,0.045469,3.65E-030
gym,0.045673,7.46E-032
everyone for,0.045678,4.12E-031
headed,0.045701,1.38E-031
blast,0.045706,1.15E-031
forward,0.045781,4.16E-031
the lord,0.046144,3.10E-032
thank,0.046464,1.02E-031
headed to,0.04651,7.20E-033
training,0.04672,2.65E-033
the birthday wishes,0.046858,5.95E-033
be a great,0.047018,1.06E-033
enjoying,0.0471,5.88E-033
birthday wishes,0.047129,2.55E-032
family and friends,0.047187,3.68E-031
! can't wait,0.047346,8.94E-034
family,0.047389,2.35E-032
work tomorrow,0.047502,3.14E-034
a great time,0.047769,2.49E-034
happy thanksgiving,0.047874,2.58E-034
can't wait to,0.047946,2.41E-034
birthday wishes !,0.047981,1.29E-034
can't wait,0.048289,1.22E-034
a great weekend,0.048394,4.01E-035
getting ready for,0.048604,8.59E-036
work,0.048648,5.17E-036
the gym,0.048734,1.23E-036
great time,0.048916,3.93E-036
to relax,0.049097,5.10E-037
so ready,0.049135,9.09E-037
a long day,0.049136,4.81E-037
this weekend,0.049371,2.96E-037
great,0.049599,1.57E-037
wait to,0.050001,1.62E-037
day off,0.050566,5.23E-039
time with,0.050728,8.13E-039
prayers,0.050936,1.76E-037
semester,0.051197,1.96E-040
great weekend,0.051421,3.97E-040
thankful for,0.051881,1.43E-039
day at work,0.052066,5.96E-042
busy,0.052279,1.61E-041
finals,0.052307,5.04E-042
the weekend,0.05233,6.11E-042
getting ready,0.052418,1.57E-041
relax,0.052774,3.93E-043
ready for the,0.052806,4.12E-043
weekend,0.053099,3.53E-043
a blast,0.053441,4.40E-044
a wonderful,0.055832,6.61E-045
success,0.056304,1.03E-049
blessings,0.056633,8.50E-048
great day !,0.056652,2.67E-049
thanksgiving,0.056796,5.08E-049
had a great,0.05694,1.34E-049
so excited,0.057509,1.40E-048
wonderful,0.058354,7.19E-049
excited,0.058675,6.22E-050
vacation,0.060126,7.75E-056
long day,0.060455,2.20E-057
workout,0.062447,7.53E-062
at work,0.062452,2.44E-060
a great day,0.062492,4.44E-060
ready to,0.062537,9.72E-061
back to work,0.062615,5.40E-059
relaxing,0.062928,7.45E-062
thankful,0.064912,8.08E-063
a great,0.065008,5.07E-065
ready,0.065595,3.28E-067
blessed,0.066334,3.94E-064
great day,0.066488,8.11E-069
to work,0.068538,6.20E-073
ready for,0.070138,3.62E-077
