gym,0.064519,1.33E-063
out with,0.064569,1.33E-062
? ? ?,0.064663,3.15E-063
ill,0.064778,2.88E-063
great weekend,0.064785,1.14E-062
a great night,0.064826,4.68E-064
but im,0.064925,2.51E-063
! cant wait,0.065027,8.24E-064
had an amazing,0.065071,7.59E-064
its,0.065183,4.62E-064
last night,0.065444,6.38E-065
love u,0.065615,6.73E-065
the best,0.065732,7.43E-066
love my life,0.065735,9.79E-066
this weekend,0.065762,1.83E-065
ladies,0.065824,1.42E-065
ready to,0.066012,2.83E-065
wait to see,0.066403,7.00E-066
last night was,0.06673,1.35E-067
excited for,0.066859,1.76E-065
the beach,0.066888,4.87E-068
guys,0.067002,1.56E-067
my life,0.067033,5.33E-068
had a great,0.067034,5.27E-067
here we come,0.067154,1.97E-068
i cant,0.067253,3.80E-067
with the girls,0.067436,5.00E-068
here we,0.067471,2.31E-069
im so,0.067966,1.81E-068
text me,0.067994,6.32E-069
my baby,0.068289,7.32E-069
bout to,0.06833,3.40E-071
!,0.068387,1.20E-070
bday,0.068447,3.51E-071
i dont,0.068712,1.05E-069
haha,0.069253,1.23E-066
so excited,0.069679,1.07E-069
feelin,0.069761,2.55E-074
a lil,0.069877,1.08E-074
night was,0.070094,8.04E-075
last night !,0.070449,1.74E-075
yall,0.070543,2.02E-076
lookin,0.070587,2.78E-076
wit,0.07103,4.66E-077
miss,0.071597,1.37E-075
lets go,0.071793,4.21E-079
great day,0.071962,7.09E-078
babe,0.072716,1.32E-080
bestie,0.072805,1.84E-079
? ?,0.073055,5.82E-081
sooo,0.073093,3.78E-077
amazing,0.073429,2.07E-081
a great,0.073513,1.39E-080
soo,0.073612,6.63E-079
chill,0.07371,2.39E-083
ready for,0.073824,2.15E-082
hit me,0.073896,2.16E-083
bout,0.0742,6.23E-084
doin,0.074412,8.39E-085
i love,0.075352,6.03E-084
blast,0.075591,1.12E-087
goin to,0.076162,2.62E-088
soooo,0.076253,7.43E-086
! !,0.076864,2.28E-090
excited,0.076892,3.24E-084
;),0.077329,9.61E-089
! ! !,0.077357,5.93E-092
wait to,0.077781,7.04E-091
thats,0.078205,8.72E-093
i love you,0.078736,1.81E-091
ready,0.078951,1.07E-094
my girls,0.078963,3.98E-094
weekend,0.079723,9.43E-097
a blast,0.080497,2.26E-099
aint,0.081058,8.11E-101
an amazing,0.081636,4.31E-102
fam,0.081646,1.79E-102
boys,0.081934,1.39E-102
beach,0.082312,1.48E-104
girl,0.082373,3.79E-103
lets,0.082495,1.11E-105
lovin,0.08284,9.50E-106
cant wait to,0.083,1.82E-105
great night,0.083338,9.00E-108
goin,0.086137,3.66E-113
hit me up,0.086187,3.99E-114
night with,0.086602,4.63E-115
i love my,0.086688,1.85E-112
ya,0.086699,5.92E-117
dont,0.086847,1.19E-113
chillin,0.086999,3.05E-117
lil,0.089155,9.74E-123
gettin,0.08942,9.84E-124
love you,0.090361,6.89E-120
baby,0.092409,8.41E-129
cant,0.094729,7.02E-135
im,0.096126,1.45E-132
girls,0.098354,2.05E-147
cant wait,0.099558,6.31E-151
party,0.110272,3.76E-190
