User, Positiv, Negativ, Pstv, Affil, Ngtv, Hostile, Strong, Pow1, Weak, Submit, Active, Passive, Pleasur, Pain, Feel, Arousal, EMOT, Virtue, Vice, Ovrst, Undrst, Academ, Doctrin, Econat, Exch, ECON1, Exprsv, Legal, Milit, Polit, POLIT1, Relig, Role, COLL, Work1, Ritual, SocRel, Race, Kin, MALE, Female, Nonadlt, HU, ANI, PLACE, Social, Region, Route, Aquatic, Land, Sky, Object1, Tool, Food, Vehicle, BldgPt, ComnObj, NatObj, BodyPt, ComForm, COM, Say, Need, Goal, Try, Means, Persist, Complet, Fail, NatrPro, Begin1, Vary, Increas, Decreas, Finish, Stay, Rise, Exert, Fetch1, Travel, Fall, Think, Know, Causal, Ought, Perceiv, Compare, Eval, EVAL1, Solve, Absat, ABS1, Quality, Quan, NUMB, ORD1, CARD, FREQ, DIST, Timeat, TIME1, Space1, POS, DIM, Rel, COLOR, Self, Our, You, Name, Yes, No1, Negate, Intrj, IAV, DAV, SV, IPadj, IndAdj, PowGain, PowLoss, PowEnds, PowAren, PowCon, PowCoop, PowAuPt, PowPt, PowDoct, PowAuth, PowOth, PowTot, RcEthic, RcRelig, RcGain, RcLoss, RcEnds, RcTot, RspGain, RspLoss, RspOth, RspTot, AffGain, AffLoss, AffPt, AffOth, AffTot, WltPt, WltTran, WltOth, WltTot, WlbGain, WlbLoss, WlbPhys, WlbPsyc, WlbPt, WlbTot, EnlGain, EnlLoss, EnlEnds, EnlPt, EnlOth, EnlTot, SklAsth, SklPt, SklOth, SklTot, TrnGain, TrnLoss, TranLw, MeansLw, EndsLw, ArenaLw, PtLw, Nation, Anomie, NegAff, PosAff, SureLw, If1, NotLw, TimeSpc, FormLw, adverbs, anger, swearWords, sadness, openness, conscientiousness, extraversion, agreableness, neuroticism, cEXT, cNEU, cAGR, cCON, cOPN, sEXT, sNEU, sAGR, sCON, sOPN
User0, 47, 31, 43, 15, 24, 11, 31, 0, 18, 4, 49, 46, 14, 8, 0, 14, 17, 17, 7, 8, 8, 6, 4, 0, 1, 0, 15, 3, 1, 0, 0, 3, 13, 2, 0, 11, 4, 0, 0, 3, 0, 0, 15, 2, 16, 11, 1, 1, 0, 1, 2, 0, 21, 1, 1, 2, 12, 7, 7, 32, 31, 0, 8, 1, 0, 9, 0, 1, 2, 22, 0, 3, 2, 0, 9, 4, 0, 2, 0, 8, 1, 1, 5, 2, 0, 2, 0, 0, 11, 5, 0, 0, 7, 11, 2, 0, 2, 4, 2, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 3, 42, 37, 10, 0, 3, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 10, 15, 3, 3, 0, 0, 2, 8, 0, 0, 6, 6, 2, 0, 5, 9, 16, 0, 1, 4, 5, 2, 2, 24, 4, 0, 32, 11, 0, 1, 1, 31, 44, 3, 2, 14, 0, 2, 4, 4, 1, 12, 0, 2, 1, 1, 7, 4, 2, 0, 0, 58, 14, 15, 4, 4, 4, 22, 7, 12, 8, 10, n, y, n, n, y, 2.65, 3.0, 3.15, 3.25, 4.4
User1, 39, 29, 32, 18, 22, 11, 16, 0, 12, 0, 38, 30, 16, 1, 0, 3, 14, 8, 11, 12, 5, 2, 4, 0, 2, 0, 6, 0, 1, 0, 0, 2, 10, 4, 0, 4, 10, 0, 0, 1, 5, 0, 14, 1, 7, 4, 1, 0, 0, 1, 1, 0, 6, 3, 1, 1, 5, 3, 6, 5, 10, 0, 2, 4, 2, 6, 0, 1, 1, 6, 0, 2, 0, 1, 0, 1, 2, 3, 0, 4, 1, 0, 2, 1, 0, 3, 0, 0, 14, 6, 0, 0, 8, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 0, 9, 0, 0, 0, 2, 25, 23, 7, 0, 5, 0, 0, 1, 2, 1, 0, 1, 4, 0, 1, 4, 14, 1, 1, 1, 0, 1, 4, 0, 0, 3, 3, 2, 0, 7, 9, 18, 0, 1, 9, 10, 0, 1, 7, 6, 0, 14, 3, 0, 1, 0, 11, 15, 2, 0, 4, 0, 1, 3, 7, 1, 6, 2, 1, 3, 0, 7, 2, 1, 0, 0, 31, 5, 9, 7, 6, 9, 8, 9, 15, 6, 9, y, y, n, y, n, 4.5, 4.0, 3.0, 4.5, 3.75
User2, 26, 14, 23, 11, 15, 6, 34, 0, 7, 2, 39, 23, 7, 1, 0, 6, 7, 9, 7, 10, 1, 8, 1, 0, 1, 0, 7, 1, 1, 0, 0, 1, 6, 8, 0, 5, 9, 0, 0, 4, 1, 0, 14, 4, 15, 10, 1, 0, 1, 1, 2, 0, 5, 2, 0, 0, 1, 6, 2, 12, 7, 1, 1, 1, 0, 2, 1, 1, 0, 11, 0, 4, 1, 0, 3, 0, 2, 7, 0, 7, 0, 0, 4, 0, 0, 4, 0, 0, 9, 2, 0, 0, 2, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 26, 30, 5, 0, 4, 3, 1, 0, 0, 1, 1, 1, 0, 0, 0, 6, 13, 0, 1, 0, 0, 0, 1, 0, 1, 5, 6, 2, 0, 3, 2, 7, 2, 1, 1, 4, 1, 1, 9, 6, 0, 17, 6, 0, 0, 0, 10, 16, 2, 1, 7, 0, 1, 2, 7, 0, 6, 3, 5, 2, 0, 4, 1, 1, 0, 0, 36, 5, 13, 2, 5, 3, 14, 11, 12, 11, 8, y, n, y, n, y, 4.3, 2.15, 3.6, 3.3, 4.1
User3, 3, 3, 2, 2, 3, 1, 1, 0, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 2, 0, 1, 3, y, y, n, y, y, 4.65, 3.2, 3.05, 3.65, 4.75
User4, 19, 5, 18, 9, 5, 3, 12, 0, 1, 1, 15, 15, 5, 1, 0, 2, 8, 5, 2, 4, 1, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 3, 1, 1, 0, 2, 4, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 4, 2, 0, 2, 2, 0, 3, 0, 0, 0, 8, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 5, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 12, 4, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 5, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 6, 8, 0, 1, 0, 1, 0, 2, 7, 2, 0, 11, 3, 0, 1, 0, 2, 6, 0, 0, 2, 0, 2, 0, 3, 0, 5, 0, 0, 1, 0, 0, 3, 1, 0, 1, 16, 2, 5, 0, 2, 1, 6, 8, 8, 9, 2, y, y, n, n, y, 3.7, 2.9, 3.4, 3.35, 4.05
User5, 43, 45, 35, 12, 35, 21, 54, 0, 11, 5, 48, 14, 1, 4, 0, 2, 6, 20, 18, 16, 1, 4, 7, 0, 0, 0, 5, 7, 1, 0, 0, 8, 22, 9, 0, 5, 4, 1, 0, 6, 0, 1, 31, 2, 6, 1, 2, 2, 0, 1, 0, 0, 5, 4, 2, 0, 1, 7, 7, 35, 18, 0, 1, 0, 0, 4, 1, 3, 1, 14, 0, 1, 2, 1, 2, 0, 0, 5, 0, 2, 0, 0, 10, 0, 0, 3, 0, 0, 10, 4, 0, 0, 5, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 8, 0, 0, 4, 8, 30, 16, 5, 0, 4, 2, 0, 1, 2, 9, 2, 7, 2, 6, 3, 4, 38, 5, 4, 0, 1, 4, 14, 1, 1, 8, 10, 1, 0, 3, 2, 6, 2, 0, 5, 7, 0, 1, 14, 5, 1, 21, 3, 0, 2, 3, 17, 25, 0, 1, 5, 0, 1, 1, 6, 4, 6, 5, 1, 2, 0, 0, 1, 7, 0, 2, 10, 17, 11, 2, 12, 4, 17, 3, 8, 3, 14, n, y, n, n, y, 3.45, 2.85, 2.8, 2.7, 4.15
User6, 16, 10, 15, 3, 11, 2, 13, 0, 2, 4, 17, 7, 7, 3, 0, 2, 7, 3, 6, 6, 4, 3, 0, 0, 0, 0, 11, 1, 0, 0, 0, 1, 4, 2, 0, 6, 1, 0, 0, 0, 0, 0, 6, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 6, 0, 2, 1, 2, 4, 0, 2, 0, 5, 0, 3, 0, 0, 1, 1, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0, 0, 6, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 20, 7, 1, 0, 1, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 5, 2, 1, 0, 0, 0, 3, 0, 0, 3, 3, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 6, 6, 0, 12, 1, 0, 0, 0, 9, 10, 1, 0, 4, 0, 0, 1, 0, 0, 4, 1, 1, 1, 0, 5, 0, 0, 0, 0, 17, 4, 4, 1, 1, 2, 5, 4, 5, 6, 5, n, n, y, y, n, 3.15, 1.9, 4.15, 4.0, 3.55
User7, 2, 5, 2, 0, 5, 2, 3, 0, 3, 0, 3, 4, 0, 0, 0, 0, 0, 2, 3, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 0, 0, 4, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 2, 1, 3, 0, 1, 0, 2, y, y, n, y, y, 4.15, 3.1, 3.2, 3.6, 3.8
User8, 18, 24, 17, 8, 18, 9, 17, 0, 9, 1, 27, 15, 3, 2, 0, 6, 8, 3, 7, 4, 3, 1, 3, 0, 1, 0, 5, 1, 1, 0, 0, 1, 12, 0, 0, 4, 5, 0, 0, 1, 3, 2, 12, 0, 6, 5, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 4, 2, 8, 12, 10, 0, 2, 0, 0, 9, 0, 0, 1, 4, 0, 1, 0, 0, 1, 2, 0, 4, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 5, 5, 0, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 12, 15, 5, 0, 4, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 3, 8, 2, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 4, 3, 8, 0, 1, 8, 9, 0, 0, 5, 2, 2, 9, 3, 0, 0, 0, 15, 18, 2, 0, 6, 0, 0, 1, 4, 0, 5, 0, 1, 1, 0, 8, 0, 1, 0, 0, 18, 5, 9, 2, 8, 3, 11, 5, 8, 3, 7, y, y, n, n, y, 3.65, 3.15, 3.45, 2.35, 4.5
User9, 31, 16, 31, 7, 13, 7, 32, 0, 3, 5, 34, 14, 7, 3, 0, 1, 6, 9, 2, 11, 1, 6, 2, 0, 1, 0, 3, 6, 0, 0, 0, 6, 10, 4, 0, 4, 6, 0, 0, 0, 2, 2, 14, 5, 18, 14, 3, 1, 0, 0, 0, 0, 1, 3, 1, 0, 7, 2, 1, 13, 17, 0, 4, 0, 0, 6, 2, 0, 2, 4, 0, 1, 0, 0, 1, 1, 0, 4, 0, 6, 0, 0, 1, 0, 0, 3, 0, 0, 3, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 20, 21, 1, 0, 0, 1, 2, 0, 1, 1, 0, 1, 1, 0, 2, 6, 15, 2, 4, 0, 0, 2, 8, 0, 0, 3, 3, 0, 0, 2, 3, 5, 1, 0, 8, 9, 0, 1, 3, 6, 0, 10, 3, 0, 0, 2, 9, 14, 2, 1, 4, 0, 0, 3, 9, 0, 5, 0, 3, 1, 0, 2, 3, 1, 0, 0, 30, 7, 7, 1, 2, 5, 7, 11, 10, 13, 7, y, y, y, y, y, 3.75, 3.25, 4.5, 5.0, 4.0
